id,item,quantity,type,employee
68,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,edunne
69,New Task Assigned,You have been assigned a new furniture request to complete.,2023-05-02,jbalcazar
70,New Task Assigned,You have been assigned a new furniture request to complete.,2023-05-02,rbanerjee
71,New Task Assigned,You have been assigned a new furniture request to complete.,2023-05-02,msowad
72,New Task Assigned,You have been assigned a new office request to complete.,2023-05-02,bborghensani
73,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,admin
76,New Task Assigned,You have been assigned a new furniture request to complete.,2023-05-02,user
75,New Task Assigned,You have been assigned a new conference request to complete.,2023-05-02,user
77,Move Alert,The room Brigham Circle Medical Associates Node 4 Floor 3 will be moving to 1675 on 2023-05-03,2023-05-02,unassigned
78,Fire,Fire,2023-05-02,admin
79,Move Alert,The room BTM Conference Center will be moving to 320 on 2023-05-02,2023-05-02,unassigned
80,Test,Test alert,2023-05-02,unassigned
82,New Task Assigned,You have been assigned a new meal request to complete.,2023-05-02,admin
85,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,admin
86,Test,Test,2023-05-02,unassigned
87,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,admin
88,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,user
89,Test,test,2023-05-02,admin
90,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,admin
91,Show Alert,Testing for demo,2023-05-02,admin
92,New Task Assigned,You have been assigned a new flower request to complete.,2023-05-02,admin
93,New Task Assigned,You have been assigned a new translation request to complete.,2023-05-03,holmes1000
94,Move Alert,The room Lobby Hallway 6 will be moving to 1830 on 2023-05-04,2023-05-03,unassigned